GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
7/20/21,42000406,Bucks,Suns,2020,105,0.451,0.862,0.222,20,53,98,0.442,0.842,0.24,14,37,1
7/17/21,42000405,Suns,Bucks,2020,119,0.552,0.909,0.684,23,35,123,0.575,0.529,0.5,26,37,0
7/14/21,42000404,Bucks,Suns,2020,109,0.402,0.828,0.241,22,48,103,0.513,0.842,0.304,18,40,1
7/11/21,42000403,Bucks,Suns,2020,120,0.478,0.769,0.389,28,47,100,0.482,0.688,0.29,21,36,1
7/8/21,42000402,Suns,Bucks,2020,118,0.489,0.857,0.5,26,43,108,0.452,0.652,0.29,21,46,1
7/6/21,42000401,Suns,Bucks,2020,118,0.466,0.962,0.324,18,43,105,0.455,0.563,0.444,21,47,1
7/3/21,42000306,Hawks,Bucks,2020,107,0.413,0.826,0.375,22,43,118,0.461,0.905,0.378,24,46,0
7/1/21,42000305,Bucks,Hawks,2020,123,0.505,0.72,0.31,28,47,112,0.456,0.789,0.395,24,40,1
6/30/21,42000316,Clippers,Suns,2020,103,0.418,0.781,0.308,18,32,130,0.564,0.636,0.548,27,47,0
6/29/21,42000304,Hawks,Bucks,2020,110,0.506,0.846,0.342,26,43,88,0.393,0.737,0.205,19,43,1
6/28/21,42000315,Suns,Clippers,2020,102,0.452,0.85,0.346,22,41,116,0.548,0.933,0.333,20,40,0
6/27/21,42000303,Hawks,Bucks,2020,102,0.464,0.563,0.405,20,35,113,0.511,0.571,0.379,27,50,0
6/26/21,42000314,Clippers,Suns,2020,80,0.325,0.656,0.161,13,51,84,0.36,0.857,0.2,16,59,0
6/25/21,42000302,Bucks,Hawks,2020,125,0.521,0.625,0.366,29,47,91,0.415,0.824,0.25,13,34,1
6/24/21,42000313,Clippers,Suns,2020,106,0.451,0.833,0.353,20,51,92,0.389,0.923,0.313,24,43,1
6/23/21,42000301,Bucks,Hawks,2020,113,0.461,0.786,0.222,27,45,116,0.495,0.875,0.25,19,51,0
6/22/21,42000312,Suns,Clippers,2020,104,0.5,0.889,0.231,24,39,103,0.45,0.75,0.382,18,39,1
6/20/21,42000311,Suns,Clippers,2020,120,0.551,1,0.406,31,43,114,0.455,0.824,0.426,23,39,1
6/20/21,42000207,76ers,Hawks,2020,96,0.425,0.76,0.321,26,48,103,0.444,0.75,0.259,22,44,0
6/19/21,42000217,Nets,Bucks,2020,111,0.464,0.84,0.308,23,46,115,0.439,0.667,0.417,20,48,0
